,Question,Options,Answer
157,"What will the following code output? def foo(a, *args, b=10, **kwargs): print(a, args, b, kwargs) foo(1, 2, 3, b=5, c=20)","a) 1 (2, 3) 10 {'b': 5, 'c': 20}
b) 1 (2, 3) 5 {'c': 20}
c) 1 2 3 5 {'c': 20}
d) Error","b) 1 (2, 3) 5 {'c': 20}"
158,Which of the following is not a valid method for file objects in Python?,"a) read()
b) write()
c) close()
d) flush()",d) flush()
159,"What does the following code do ? import re pattern = r'[A-Z][a-z]+' text = 'JohnDoe' match = re.search(pattern, text) print(match.group())","a) 'John'
b) 'Doe'
c) 'JohnDoe'
d) Error",a) 'John'
160,"What is the result of the code ?
class A:
    def f(self):
        return 'A'
class B(A):
    def f(self):
        return 'B'
a = A()
b = B()
print(a.f(), b.f())","a) A A
b) A B
c) B A
d) Error",b) A B
161,"What is the output of the following code ?
def generator():
    yield 1
    yield 2
    yield 3
g = generator()
print(next(g))
print(next(g))","a) 1 2
b) [1, 2, 3]
c) 1, Stop Iteration
d) Error",a) 1 2
162,Which of the following is used to create an alias for a module in Python?,"a) as
b) import
c) from
d) alias",a) as
163,Which of the following is not a valid Python file mode?,"a) 'r+'
b) 'a+'
c) 'x+'
d) 'rw'",d) 'rw'
164,Which Python module is used for multithreading?,"a) os
b) threading
c) multiprocessing
d) sys",b) threading
165,What is the purpose of the gc module in Python?,"a) Manages file input and output
b) Handles exceptions
c) Interfaces with the garbage collector
d) Manages system signals",c) Interfaces with the garbage collector
166,What is the time complexity of the in operator when checking membership in a list?,"a) O(1)
b) O(log n)
c) O(n)
d) O(n^2)",c) O(n)
167,"What is the output of the following code ?
import re
s = 'The rain in Spain'
result = re.search(r'\bS\w+', s)
print(result.group())","a) 'Spain'
b) 'rain'
c) 'in'
d) None",a) 'Spain'
168,"What will be the result of the following code?
def func(a, b=2, c=3):
    return a + b + c
print(func(1, c=10))","a) 16
b) 12
c) 6
d) Error",a) 16
169,"What will be the output of the following code ?
print(0.1 + 0.2 == 0.3)","a) True
b) False
c) Error
d) None",b) False
170,"What will be the output of the following code?
x = {1: 'a', 2: 'b'}
y = x.copy()
y[1] = 'z'
print(x)","A) {1: 'a', 2: 'b'}
B) {1: 'z', 2: 'b'}
C) Error
D) None","A) {1: 'a', 2: 'b'}"
171,"What will be the output of the following code?
x = {1, 2, 3}
x.add(4)
x.add(4)
print(x)","A) {1, 2, 3, 4}
B) Error
C) {1, 2, 3}
D) None","A) {1, 2, 3, 4}"
172,"What will be the output of the following code?
x = {1, 2, 3}
x.update([4, 5])
print(x)","A) {1, 2, 3, 4, 5}
B) Error
C) {4, 5}
D) None","A) {1, 2, 3, 4, 5}"
173,"What will be the output of the following code?
x = {i: i**2 for i in range(3)}
print(x)","A) {0: 0, 1: 1, 2: 4}
B) [0, 1, 2]
C) Error
D) {1: 1, 2: 4}","A) {0: 0, 1: 1, 2: 4}"
174,"What will be the output of the following code?
x = [i for i in range(10) if i % 2 == 0]
print(x)","A) [0, 2, 4, 6, 8]
B) [0, 1, 2, 3, 4, 5, 6, 7, 8, 9]
C) []
D) [2, 4, 6, 8, 10]","A) [0, 2, 4, 6, 8]"
175,"What will be the output of the following code?
x = [1, 2, 3, 4, 5]
y = [i for i in x if i % 2 == 0]
print(y)","A) [2, 4]
B) [1, 3, 5]
C) [1, 2, 3, 4, 5]
D) Error","A) [2, 4]"
176,"What will be the output of the following code?
x = (i for i in range(5))
print(next(x))
print(next(x))","A) 0 1
B) [0, 1]
C) 0 0
D) Error",A) 0 1
177,"What will be the output of the following code?
x = [i**2 for i in range(5)]
print(x)","A) [0, 1, 4, 9, 16]
B) [1, 4, 9, 16]
C) [1, 2, 3, 4]
D) Error","A) [0, 1, 4, 9, 16]"
178,"What will be the output of the following code?
x = {1: 'a', 2: 'b', 3: 'c'}
del x[1]
print(x)","A) {2: 'b', 3: 'c'}
B) {1: 'a', 3: 'c'}
C) Error
D) None","A) {2: 'b', 3: 'c'}"
179,"What will be the output of the following code?
x = [1, 2, 3]
y = x
y[0] = 100
print(x)","A) [100, 2, 3]
B) [1, 2, 3]
C) Error
D) None","A) [100, 2, 3]"
180,"What will be the output of the following code?
x = [1, 2, 3]
y = x.copy()
y[0] = 100
print(x, y)","A) [1, 2, 3] [100, 2, 3]
B) [100, 2, 3] [100, 2, 3]
C) Error
D) None","A) [1, 2, 3] [100, 2, 3]"
181,"What will be the output of the following code?
x = [1, 2, 3]
y = x
x += [4]
print(x, y)","A) [1, 2, 3, 4] [1, 2, 3]
B) [1, 2, 3, 4] [1, 2, 3, 4]
C) Error
D) None","A) [1, 2, 3, 4] [1, 2, 3, 4]"
182,"What will be the output of the following code?
x = (1, 2, 3)
y = list(x)
y[0] = 100
print(y)","A) [100, 2, 3]
B) (100, 2, 3)
C) Error
D) None","A) [100, 2, 3]"
183,"What will be the output of the following code?
x = (1, 2, 3)
y = (4, 5, 6)
print(x + y)","A) (1, 2, 3, 4, 5, 6)
B) [1, 2, 3, 4, 5, 6]
C) Error
D) None","A) (1, 2, 3, 4, 5, 6)"
184,"What will be the output of the following code?
x = {i: i**2 for i in range(3)}
y = x.keys()
print(y)","A) [0, 1, 2]
B) dict_keys([0, 1, 2])
C) Error
D) None","B) dict_keys([0, 1, 2])"
185,"What will be the output of the following code?
x = [1, 2, 3, 4, 5]
y = x[1:-1]
print(y)","A) [2, 3, 4]
B) [1, 2, 3, 4, 5]
C) [2, 3]
D) [2, 3, 4, 5]","A) [2, 3, 4]"
186,"What will be the output of the following code?
def f(x):
    return x * x

x = [1, 2, 3]
y = [f(i) for i in x]
print(y)","A) [1, 4, 9]
B) [2, 4, 6]
C) [3, 6, 9]
D) Error","A) [1, 4, 9]"
187,"What will be the output of the following code?
x = [1, 2, 3]
y = [x] * 3
x[1] = 100
print(y)","A) [[1, 100, 3], [1, 2, 3], [1, 2, 3]]
B) [[1, 100, 3], [1, 100, 3], [1, 100, 3]]
C) [[1, 2, 3], [1, 2, 3], [1, 2, 3]]
D) Error","B) [[1, 100, 3], [1, 100, 3], [1, 100, 3]]"
188,Which of the following is used to access an environment variable in Python?,"a) os.environ(), b) os.getenv(), c) os.setenv(), d) os.env()",b)
189,"What is the output of this Python code?
s = 'hello'
print(s[0].upper() + s[1:])","a) Hello, b) hello, c) HELLO, d) Error",a)
190,"What will be the result of the following Python code?
class A:
    def f(self):
        return 'A'
class B(A):
    pass
b = B()
print(b.f())","a) A, b) B, c) None, d) Error",a)
191,"What will be the output of the following code?
a = [1, 2, 3]
b = [a, a]
b[0][1] = 10
print(b)","A) [[1, 10, 3], [1, 2, 3]], B) [[1, 10, 3], [1, 10, 3]], C) [[1, 2, 3], [1, 2, 3]], D) Error","B) [[1, 10, 3], [1, 10, 3]]"
192,"What will be the output of the following code?
x = 5
def foo(x):
    return lambda y: x + y
a = foo(10)
print(a(20))","A) 15, B) 30, C) 25, D) Error",C) 25
193,"What will be the output of the following code?
def func(lst=[]):
    lst.append(1)
    return lst
print(func())
print(func())","A) [1] [1, 1], B) [1] [1], C) [1, 1] [1, 1], D) Error","A) [1] [1, 1]"
194,"What will be the output of the following code?
def f(x):
    return x * x

x = [1, 2, 3, 4]
y = map(f, x)
print(list(y))","A) [1, 2, 3, 4], B) [1, 4, 9, 16], C) Error, D) [1, 4, 9]","B) [1, 4, 9, 16]"
195,"What will be the output of the following code?
a = [1, 2, 3]
b = a
a = a + [4, 5]
print(b)","A) [1, 2, 3], B) [1, 2, 3, 4, 5], C) Error, D) None","A) [1, 2, 3]"
196,"What will be the output of the following code?
def outer(x):
    def inner(y):
        return x + y
    return inner
a = outer(10)
print(a(5))
print(a(10))","A) 10 20, B) 15 20, C) None, D) Error",B) 15 20
197,"What will be the output of the following code?
x = [1, 2, 3]
y = [i**2 for i in x]
print(y)","A) [1, 4, 9], B) [2, 3], C) [1, 2, 3], D) [2, 3, 4]","A) [1, 4, 9]"
198,"What will be the output of the following code?
def f(x):
    return x // 2

x = [5, 8, 12]
y = list(map(f, x))
print(y)","A) [2, 4, 6], B) [2, 4, 5], C) [2, 3, 6], D) Error","A) [2, 4, 6]"
199,"What will be the output of the following code?
x = [1, 2, 3]
y = [x] * 3
x[0] = 100
print(y)","A) [[100, 2, 3], [1, 2, 3]], B) [[100, 2, 3], [100, 2, 3]], C) [[1, 2, 3], [1, 2, 3]], D) Error","B) [[100, 2, 3], [100, 2, 3]]"
200,"What will be the output of the following code?
a = [1, 2, 3]
b = a[:]
b[0] = 100
print(a)","A) [100, 2, 3], B) [1, 2, 3], C) Error, D) None","B) [1, 2, 3]"
201,"What will be the output of the following code?
x = 10
y = [lambda: x + i for i in range(3)]
print([f() for f in y])","A) [10, 11, 12], B) [12, 12, 12], C) [10, 11, 12, 13], D) Error","B) [12, 12, 12]"
202,"What will be the output of the following code?
a = [1, 2, 3]
b = a

a[0] = 100
print(b)","A) [100, 2, 3], B) [1, 2, 3], C) Error, D) None","A) [100, 2, 3]"
203,"What will be the output of the following code?
x = [(1, 2), (3, 4), (5, 6)]
x.sort(key=lambda y: y[1], reverse=True)
print(x)","A) [(1, 2), (3, 4), (5, 6)], B) [(5, 6), (3, 4), (1, 2)], C) [(1, 2), (5, 6), (3, 4)], D) Error","B) [(5, 6), (3, 4), (1, 2)]"
204,"What will be the output of the following code?
x = [(1, 2), (3, 4), (5, 6)]
x[0][1] = 100
print(x)","A) [(1, 100), (3, 4), (5, 6)], B) Error, C) [(1, 2), (3, 4), (5, 6)], D) None",B) Error
205,"What will be the output of the following code?
x = [1, 2, 3, 4, 5]
print(x[1:3])","A) [2, 3], B) [1, 2], C) [1, 2, 3], D) [2, 3, 4]","B) [2, 3]"
206,"What will be the output of the following code?
x = (1, 2, 3, [4, 5])
x[3].append(6)
print(x)","A) (1, 2, 3, [4, 5, 6]), B) Error, C) (1, 2, 3, [6]), D) None","A) (1, 2, 3, [4, 5, 6])"
207,"What will be the output of the following code?
x = 0
for i in range(5):
    x += i
print(x)","A) 10, B) 0, C) 5, D) 15",A) 10
